"GEO_ID","NAME","P002001","P002002","P002003","P002004","P002005","P002006"
"id","Geographic Area Name","Total","Total!!Urban","Total!!Urban!!Inside urbanized areas","Total!!Urban!!Inside urban clusters","Total!!Rural","Total!!Not defined for this file"
"0400000US01","Alabama","4779736(r38235)","2821804","2325304","496500","1957932","0"
"0400000US02","Alaska","710231(r38823)","468893","315756","153137","241338","0"
"0400000US04","Arizona","6392017","5740659","5117783","622876","651358","0"
"0400000US05","Arkansas","2915918(r39193)","1637589","1152837","484752","1278329","0"
"0400000US06","California","37253956","35373606","33427689","1945917","1880350","0"
"0400000US22","Louisiana","4533372","3317805","2780406","537399","1215567","0"
"0400000US21","Kentucky","4339367","2533343","1778528","754815","1806024","0"
"0400000US08","Colorado","5029196","4332761","3865471","467290","696435","0"
"0400000US09","Connecticut","3574097","3144942","3031980","112962","429155","0"
"0400000US10","Delaware","897934","747949","616982","130967","149985","0"
"0400000US11","District of Columbia","601723(r39494)","601723","601723","0","0","0"
"0400000US12","Florida","18801310(r40184)","17139844","16439936","699908","1661466","0"
"0400000US13","Georgia","9687653(r41102)","7272151","6334271","937880","2415502","0"
"0400000US15","Hawaii","1360301","1250489","972075","278414","109812","0"
"0400000US16","Idaho","1567582(r41542)","1106370","791843","314527","461212","0"
"0400000US17","Illinois","12830632","11353553","10260671","1092882","1477079","0"
"0400000US18","Indiana","6483802","4697100","3836584","860516","1786702","0"
"0400000US19","Iowa","3046355","1950256","1268964","681292","1096099","0"
"0400000US20","Kansas","2853118","2116961","1431424","685537","736157","0"
"0400000US23","Maine","1328361","513542","348137","165405","814819","0"
"0400000US24","Maryland","5773552(r42264)","5034331","4822869","211462","739221","0"
"0400000US25","Massachusetts","6547629","6021989","5912700","109289","525640","0"
"0400000US26","Michigan","9883640(r45127)","7369957","6560163","809794","2513683","0"
"0400000US27","Minnesota","5303925","3886311","3076032","810279","1417614","0"
"0400000US28","Mississippi","2967297","1464224","819522","644702","1503073","0"
"0400000US29","Missouri","5988927","4218371","3390061","828310","1770556","0"
"0400000US30","Montana","989415","553014","262137","290877","436401","0"
"0400000US31","Nebraska","1826341","1335686","982197","353489","490655","0"
"0400000US32","Nevada","2700551","2543797","2336222","207575","156754","0"
"0400000US33","New Hampshire","1316470","793872","623168","170704","522598","0"
"0400000US34","New Jersey","8791894(r46246)","8324126","8109908","214218","467768","0"
"0400000US35","New Mexico","2059179(r46748)","1594361","1106721","487640","464818","0"
"0400000US36","New York","19378102","17028105","16018144","1009961","2349997","0"
"0400000US37","North Carolina","9535483","6301756","5232799","1068957","3233727","0"
"0400000US38","North Dakota","672591","402872","269056","133816","269719","0"
"0400000US39","Ohio","11536504","8989694","7534686","1455008","2546810","0"
"0400000US40","Oklahoma","3751351","2485029","1717572","767457","1266322","0"
"0400000US41","Oregon","3831074","3104382","2393393","710989","726692","0"
"0400000US42","Pennsylvania","12702379","9991287","8977537","1013750","2711092","0"
"0400000US44","Rhode Island","1052567","955043","952101","2942","97524","0"
"0400000US45","South Carolina","4625364","3067809","2580045","487764","1557555","0"
"0400000US46","South Dakota","814180(r48166)","461247","243587","217660","352933","0"
"0400000US47","Tennessee","6346105","4213245","3450715","762530","2132860","0"
"0400000US48","Texas","25145561(r48514)","21298039","18947957","2350082","3847522","0"
"0400000US49","Utah","2763885","2503595","2243441","260154","260290","0"
"0400000US50","Vermont","625741","243385","108740","134645","382356","0"
"0400000US51","Virginia","8001024","6037094","5584039","453055","1963930","0"
"0400000US53","Washington","6724540","5651869","5041475","610394","1072671","0"
"0400000US54","West Virginia","1852994","902810","615254","287556","950184","0"
"0400000US55","Wisconsin","5686986","3989638","3173382","816256","1697348","0"
"0400000US56","Wyoming","563626","364993","138136","226857","198633","0"
"0400000US72","Puerto Rico","3725789(r49850)","3493256","3379977","113279","232533","0"
