"GEO_ID","NAME","S1901_C01_001E","S1901_C01_001M","S1901_C02_001E","S1901_C02_001M","S1901_C03_001E","S1901_C03_001M","S1901_C04_001E","S1901_C04_001M","S1901_C01_002E","S1901_C01_002M","S1901_C02_002E","S1901_C02_002M","S1901_C03_002E","S1901_C03_002M","S1901_C04_002E","S1901_C04_002M","S1901_C01_003E","S1901_C01_003M","S1901_C02_003E","S1901_C02_003M","S1901_C03_003E","S1901_C03_003M","S1901_C04_003E","S1901_C04_003M","S1901_C01_004E","S1901_C01_004M","S1901_C02_004E","S1901_C02_004M","S1901_C03_004E","S1901_C03_004M","S1901_C04_004E","S1901_C04_004M","S1901_C01_005E","S1901_C01_005M","S1901_C02_005E","S1901_C02_005M","S1901_C03_005E","S1901_C03_005M","S1901_C04_005E","S1901_C04_005M","S1901_C01_006E","S1901_C01_006M","S1901_C02_006E","S1901_C02_006M","S1901_C03_006E","S1901_C03_006M","S1901_C04_006E","S1901_C04_006M","S1901_C01_007E","S1901_C01_007M","S1901_C02_007E","S1901_C02_007M","S1901_C03_007E","S1901_C03_007M","S1901_C04_007E","S1901_C04_007M","S1901_C01_008E","S1901_C01_008M","S1901_C02_008E","S1901_C02_008M","S1901_C03_008E","S1901_C03_008M","S1901_C04_008E","S1901_C04_008M","S1901_C01_009E","S1901_C01_009M","S1901_C02_009E","S1901_C02_009M","S1901_C03_009E","S1901_C03_009M","S1901_C04_009E","S1901_C04_009M","S1901_C01_010E","S1901_C01_010M","S1901_C02_010E","S1901_C02_010M","S1901_C03_010E","S1901_C03_010M","S1901_C04_010E","S1901_C04_010M","S1901_C01_011E","S1901_C01_011M","S1901_C02_011E","S1901_C02_011M","S1901_C03_011E","S1901_C03_011M","S1901_C04_011E","S1901_C04_011M","S1901_C01_012E","S1901_C01_012M","S1901_C02_012E","S1901_C02_012M","S1901_C03_012E","S1901_C03_012M","S1901_C04_012E","S1901_C04_012M","S1901_C01_013E","S1901_C01_013M","S1901_C02_013E","S1901_C02_013M","S1901_C03_013E","S1901_C03_013M","S1901_C04_013E","S1901_C04_013M","S1901_C01_014E","S1901_C01_014M","S1901_C02_014E","S1901_C02_014M","S1901_C03_014E","S1901_C03_014M","S1901_C04_014E","S1901_C04_014M","S1901_C01_015E","S1901_C01_015M","S1901_C02_015E","S1901_C02_015M","S1901_C03_015E","S1901_C03_015M","S1901_C04_015E","S1901_C04_015M","S1901_C01_016E","S1901_C01_016M","S1901_C02_016E","S1901_C02_016M","S1901_C03_016E","S1901_C03_016M","S1901_C04_016E","S1901_C04_016M"
"id","Geographic Area Name","Estimate!!Households!!Total","Margin of Error!!Households MOE!!Total","Estimate!!Families!!Total","Margin of Error!!Families MOE!!Total","Estimate!!Married-couple families!!Total","Margin of Error!!Married-couple families MOE!!Total","Estimate!!Nonfamily households!!Total","Margin of Error!!Nonfamily households MOE!!Total","Estimate!!Households!!Total!!Less than $10,000","Margin of Error!!Households MOE!!Total!!Less than $10,000","Estimate!!Families!!Total!!Less than $10,000","Margin of Error!!Families MOE!!Total!!Less than $10,000","Estimate!!Married-couple families!!Total!!Less than $10,000","Margin of Error!!Married-couple families MOE!!Total!!Less than $10,000","Estimate!!Nonfamily households!!Total!!Less than $10,000","Margin of Error!!Nonfamily households MOE!!Total!!Less than $10,000","Estimate!!Households!!Total!!$10,000 to $14,999","Margin of Error!!Households MOE!!Total!!$10,000 to $14,999","Estimate!!Families!!Total!!$10,000 to $14,999","Margin of Error!!Families MOE!!Total!!$10,000 to $14,999","Estimate!!Married-couple families!!Total!!$10,000 to $14,999","Margin of Error!!Married-couple families MOE!!Total!!$10,000 to $14,999","Estimate!!Nonfamily households!!Total!!$10,000 to $14,999","Margin of Error!!Nonfamily households MOE!!Total!!$10,000 to $14,999","Estimate!!Households!!Total!!$15,000 to $24,999","Margin of Error!!Households MOE!!Total!!$15,000 to $24,999","Estimate!!Families!!Total!!$15,000 to $24,999","Margin of Error!!Families MOE!!Total!!$15,000 to $24,999","Estimate!!Married-couple families!!Total!!$15,000 to $24,999","Margin of Error!!Married-couple families MOE!!Total!!$15,000 to $24,999","Estimate!!Nonfamily households!!Total!!$15,000 to $24,999","Margin of Error!!Nonfamily households MOE!!Total!!$15,000 to $24,999","Estimate!!Households!!Total!!$25,000 to $34,999","Margin of Error!!Households MOE!!Total!!$25,000 to $34,999","Estimate!!Families!!Total!!$25,000 to $34,999","Margin of Error!!Families MOE!!Total!!$25,000 to $34,999","Estimate!!Married-couple families!!Total!!$25,000 to $34,999","Margin of Error!!Married-couple families MOE!!Total!!$25,000 to $34,999","Estimate!!Nonfamily households!!Total!!$25,000 to $34,999","Margin of Error!!Nonfamily households MOE!!Total!!$25,000 to $34,999","Estimate!!Households!!Total!!$35,000 to $49,999","Margin of Error!!Households MOE!!Total!!$35,000 to $49,999","Estimate!!Families!!Total!!$35,000 to $49,999","Margin of Error!!Families MOE!!Total!!$35,000 to $49,999","Estimate!!Married-couple families!!Total!!$35,000 to $49,999","Margin of Error!!Married-couple families MOE!!Total!!$35,000 to $49,999","Estimate!!Nonfamily households!!Total!!$35,000 to $49,999","Margin of Error!!Nonfamily households MOE!!Total!!$35,000 to $49,999","Estimate!!Households!!Total!!$50,000 to $74,999","Margin of Error!!Households MOE!!Total!!$50,000 to $74,999","Estimate!!Families!!Total!!$50,000 to $74,999","Margin of Error!!Families MOE!!Total!!$50,000 to $74,999","Estimate!!Married-couple families!!Total!!$50,000 to $74,999","Margin of Error!!Married-couple families MOE!!Total!!$50,000 to $74,999","Estimate!!Nonfamily households!!Total!!$50,000 to $74,999","Margin of Error!!Nonfamily households MOE!!Total!!$50,000 to $74,999","Estimate!!Households!!Total!!$75,000 to $99,999","Margin of Error!!Households MOE!!Total!!$75,000 to $99,999","Estimate!!Families!!Total!!$75,000 to $99,999","Margin of Error!!Families MOE!!Total!!$75,000 to $99,999","Estimate!!Married-couple families!!Total!!$75,000 to $99,999","Margin of Error!!Married-couple families MOE!!Total!!$75,000 to $99,999","Estimate!!Nonfamily households!!Total!!$75,000 to $99,999","Margin of Error!!Nonfamily households MOE!!Total!!$75,000 to $99,999","Estimate!!Households!!Total!!$100,000 to $149,999","Margin of Error!!Households MOE!!Total!!$100,000 to $149,999","Estimate!!Families!!Total!!$100,000 to $149,999","Margin of Error!!Families MOE!!Total!!$100,000 to $149,999","Estimate!!Married-couple families!!Total!!$100,000 to $149,999","Margin of Error!!Married-couple families MOE!!Total!!$100,000 to $149,999","Estimate!!Nonfamily households!!Total!!$100,000 to $149,999","Margin of Error!!Nonfamily households MOE!!Total!!$100,000 to $149,999","Estimate!!Households!!Total!!$150,000 to $199,999","Margin of Error!!Households MOE!!Total!!$150,000 to $199,999","Estimate!!Families!!Total!!$150,000 to $199,999","Margin of Error!!Families MOE!!Total!!$150,000 to $199,999","Estimate!!Married-couple families!!Total!!$150,000 to $199,999","Margin of Error!!Married-couple families MOE!!Total!!$150,000 to $199,999","Estimate!!Nonfamily households!!Total!!$150,000 to $199,999","Margin of Error!!Nonfamily households MOE!!Total!!$150,000 to $199,999","Estimate!!Households!!Total!!$200,000 or more","Margin of Error!!Households MOE!!Total!!$200,000 or more","Estimate!!Families!!Total!!$200,000 or more","Margin of Error!!Families MOE!!Total!!$200,000 or more","Estimate!!Married-couple families!!Total!!$200,000 or more","Margin of Error!!Married-couple families MOE!!Total!!$200,000 or more","Estimate!!Nonfamily households!!Total!!$200,000 or more","Margin of Error!!Nonfamily households MOE!!Total!!$200,000 or more","Estimate!!Households!!Median income (dollars)","Margin of Error!!Households MOE!!Median income (dollars)","Estimate!!Families!!Median income (dollars)","Margin of Error!!Families MOE!!Median income (dollars)","Estimate!!Married-couple families!!Median income (dollars)","Margin of Error!!Married-couple families MOE!!Median income (dollars)","Estimate!!Nonfamily households!!Median income (dollars)","Margin of Error!!Nonfamily households MOE!!Median income (dollars)","Estimate!!Households!!Mean income (dollars)","Margin of Error!!Households MOE!!Mean income (dollars)","Estimate!!Families!!Mean income (dollars)","Margin of Error!!Families MOE!!Mean income (dollars)","Estimate!!Married-couple families!!Mean income (dollars)","Margin of Error!!Married-couple families MOE!!Mean income (dollars)","Estimate!!Nonfamily households!!Mean income (dollars)","Margin of Error!!Nonfamily households MOE!!Mean income (dollars)","Estimate!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Households MOE!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Families MOE!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Married-couple families MOE!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Nonfamily households MOE!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Households MOE!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Families MOE!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Married-couple families MOE!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Nonfamily households MOE!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Households MOE!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Families MOE!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Married-couple families MOE!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Nonfamily households MOE!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months"
"0400000US02","Alaska","254551","3266","167527","4191","127824","3685","87024","3673","4.5","0.6","2.9","0.5","1.1","0.3","9.1","1.6","3.3","0.5","2.0","0.6","0.8","0.3","6.2","1.1","6.4","0.7","3.9","0.6","2.7","0.6","11.5","1.5","6.6","0.7","5.7","0.9","4.4","0.9","9.7","1.4","10.3","0.8","8.8","1.0","7.0","0.9","14.1","1.6","19.3","1.3","18.4","1.5","16.8","1.6","21.6","2.2","13.4","1.0","14.1","1.3","14.6","1.5","11.4","1.8","19.0","1.3","22.9","1.5","26.5","1.8","8.9","1.5","8.3","0.8","10.3","1.2","12.7","1.5","3.7","0.9","8.8","0.9","11.0","1.2","13.3","1.6","3.7","1.1","74346","2288","89847","2908","102840","2848","49061","3318","96080","2597","109619","3025","122489","3796","63577","3746","33.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","35.0","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","26.9","(X)"
"0400000US23","Maine","570307","5261","342542","6065","267015","6167","227765","6229","6.2","0.6","3.1","0.5","1.3","0.3","11.9","1.2","5.5","0.5","2.3","0.3","1.0","0.3","11.0","1.1","9.9","0.6","5.3","0.6","3.6","0.5","17.3","1.2","9.4","0.5","8.1","0.6","6.4","0.6","12.3","0.9","13.9","0.7","13.3","0.8","12.2","0.9","14.9","1.3","18.1","0.9","19.5","1.0","19.3","1.2","15.7","1.2","13.5","0.7","16.8","1.0","18.8","1.3","7.5","0.9","14.1","0.7","18.8","1.1","21.6","1.3","5.9","0.7","4.9","0.4","6.8","0.6","8.3","0.8","2.0","0.5","4.3","0.4","6.0","0.6","7.5","0.7","1.5","0.4","55602","1326","72390","1833","82465","1726","32671","1431","73935","1269","89437","1651","100315","2034","47052","1714","30.2","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","30.4","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","28.5","(X)"
"0400000US37","North Carolina","4011462","16617","2622295","20703","1920236","20105","1389167","18401","6.5","0.2","4.0","0.2","1.5","0.2","12.2","0.5","4.9","0.2","2.6","0.2","1.2","0.1","9.7","0.5","10.3","0.3","7.3","0.3","4.2","0.2","16.7","0.5","10.2","0.3","8.9","0.3","6.5","0.3","13.2","0.5","14.3","0.3","13.1","0.4","11.4","0.4","16.5","0.6","18.2","0.4","19.1","0.4","19.5","0.4","15.9","0.6","12.2","0.3","14.4","0.4","16.8","0.5","7.2","0.4","13.0","0.3","16.5","0.4","20.6","0.5","5.5","0.3","4.8","0.2","6.5","0.2","8.3","0.3","1.5","0.2","5.6","0.2","7.7","0.2","10.0","0.3","1.6","0.2","53855","573","67816","805","82351","726","33347","658","76693","693","91208","916","107378","1216","46421","758","34.2","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","35.0","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","31.4","(X)"
"0400000US29","Missouri","2434806","10407","1550876","14411","1159502","12961","883930","13454","6.3","0.2","3.5","0.2","1.5","0.2","12.1","0.6","4.9","0.3","2.2","0.2","1.1","0.1","10.1","0.6","10.1","0.3","6.8","0.4","4.1","0.3","16.6","0.5","10.4","0.3","8.7","0.4","6.5","0.4","14.3","0.6","14.4","0.4","13.4","0.4","12.0","0.4","16.1","0.6","18.6","0.4","19.7","0.5","19.7","0.5","15.6","0.7","12.4","0.4","15.1","0.5","17.3","0.6","7.1","0.4","13.2","0.3","17.2","0.4","20.9","0.5","5.2","0.4","4.8","0.2","6.6","0.3","8.2","0.4","1.5","0.2","5.0","0.2","6.9","0.3","8.8","0.4","1.4","0.2","54478","751","69188","906","81614","704","32471","550","75013","861","89955","1002","103337","1245","45926","1158","32.4","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","33.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","29.9","(X)"
"0400000US42","Pennsylvania","5070931","12151","3235257","16951","2411269","17201","1835674","17489","6.4","0.2","3.5","0.2","1.1","0.1","12.6","0.4","4.4","0.1","2.0","0.1","1.0","0.1","8.9","0.3","9.3","0.2","5.6","0.2","3.1","0.1","16.5","0.4","9.3","0.2","7.3","0.2","5.4","0.2","13.2","0.4","12.3","0.2","11.4","0.3","9.8","0.3","14.4","0.4","17.8","0.2","18.4","0.3","18.0","0.3","16.2","0.4","12.8","0.2","15.1","0.3","16.4","0.3","8.1","0.3","15.1","0.2","19.4","0.3","23.3","0.4","6.4","0.3","6.2","0.2","8.4","0.2","10.5","0.3","1.8","0.2","6.5","0.2","8.9","0.2","11.3","0.3","2.0","0.2","60905","315","77491","487","92050","559","33975","567","83765","550","100919","753","116460","921","50214","764","35.7","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","36.2","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","33.6","(X)"
"0400000US26","Michigan","3957466","12369","2520001","12884","1849470","11875","1437465","12879","6.8","0.2","4.0","0.2","1.5","0.1","12.9","0.4","4.5","0.2","2.5","0.2","1.2","0.1","8.5","0.4","9.6","0.2","6.0","0.2","3.4","0.2","16.5","0.5","9.8","0.2","7.7","0.3","5.3","0.3","14.0","0.5","13.6","0.2","12.4","0.3","10.7","0.3","15.9","0.4","18.4","0.3","19.6","0.4","19.8","0.4","15.7","0.5","12.8","0.2","15.1","0.3","17.2","0.4","7.6","0.3","13.9","0.2","18.0","0.3","22.1","0.4","5.7","0.3","5.5","0.2","7.6","0.2","9.7","0.3","1.6","0.1","5.2","0.1","7.1","0.2","9.2","0.2","1.5","0.1","56697","406","72036","508","86224","686","33270","501","77682","578","93320","782","108672","988","47147","666","33.2","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","33.4","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","31.4","(X)"
"0400000US31","Nebraska","765490","3878","485628","5777","379801","6048","279862","4801","5.0","0.4","2.5","0.3","1.0","0.2","10.5","0.9","4.4","0.3","1.8","0.3","0.9","0.2","9.4","0.7","9.3","0.5","5.8","0.5","3.1","0.4","16.5","0.9","9.4","0.4","6.9","0.5","4.9","0.5","13.9","0.9","13.7","0.6","12.4","0.6","10.8","0.7","16.6","1.0","19.3","0.5","19.7","0.8","19.8","0.8","18.0","1.1","13.4","0.5","16.5","0.7","18.1","0.8","7.2","0.7","15.5","0.5","20.2","0.8","24.1","1.1","5.6","0.6","5.3","0.3","7.3","0.5","9.0","0.6","1.4","0.3","4.7","0.3","6.8","0.5","8.3","0.5","0.9","0.3","59566","1072","75990","1057","86735","1330","34755","935","78793","1190","95522","1662","107629","1968","45346","1389","34.0","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","33.7","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","33.2","(X)"
"0400000US41","Oregon","1639970","6988","1027648","10811","793537","10319","612322","10742","5.3","0.3","3.2","0.3","1.2","0.2","10.3","0.6","4.0","0.3","2.1","0.3","1.1","0.2","8.0","0.5","8.5","0.3","5.4","0.4","3.8","0.4","14.2","0.8","8.9","0.3","7.3","0.5","5.6","0.4","12.5","0.7","12.8","0.4","11.5","0.4","9.9","0.5","15.2","0.7","18.1","0.5","18.6","0.7","18.6","0.9","16.9","0.7","13.6","0.5","15.1","0.7","16.5","0.8","10.1","0.6","15.5","0.5","18.9","0.7","21.9","0.8","8.4","0.5","6.5","0.3","8.8","0.5","10.6","0.6","2.0","0.2","6.7","0.3","9.0","0.4","10.9","0.5","2.4","0.3","63426","1056","77655","1235","89253","1633","39377","860","85235","1052","100844","1370","113268","1534","54759","1283","29.9","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","29.9","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","28.0","(X)"
"0400000US56","Wyoming","230252","3746","144525","4783","116706","4219","85727","4781","5.3","0.8","2.8","0.7","1.0","0.5","10.2","1.9","3.4","0.6","1.5","0.5","0.8","0.4","6.5","1.3","9.4","0.9","5.5","1.0","3.6","0.9","16.7","2.2","9.9","1.0","6.9","1.0","5.0","1.0","15.9","1.9","13.0","1.0","12.3","1.2","11.3","1.3","14.6","2.0","18.2","1.2","18.3","1.5","17.7","1.7","17.9","2.1","13.9","1.2","16.7","1.5","18.6","1.7","8.1","1.7","16.2","1.4","21.3","1.8","24.5","2.2","6.1","1.5","5.9","0.9","8.1","1.4","9.5","1.5","2.2","0.7","4.9","0.7","6.6","1.0","7.9","1.2","1.8","0.7","61584","1401","78352","2788","88079","3494","35631","2531","81935","3076","98769","4482","108010","4277","50447","3335","29.0","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","29.6","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","26.7","(X)"
