state_abrv,registration deadline,starting day of voting early,id for in person voting,who can request,deadline to request,absentee mailed out,date to return absentee by,witness needed
AK,2020-10-04,2020-10-19,1,1,2020-10-24,1,2020-11-03,0
AL,2020-10-19,N/A,1,0,2020-10-29,2,2020-11-03,1
AR,2020-10-05,2020-10-19,2,1,2020-11-02,2,2020-11-03,0
AZ,2020-10-15,2020-10-07,1,0,2020-10-23,1,2020-11-03,0
CA,2020-11-03,2020-10-05,0,0,N/A,0,2020-11-03,0
CO,2020-11-03,2020-10-19,1,0,N/A,0,2020-11-03,0
CT,2020-11-03,N/A,1,1,2020-11-02,1,2020-11-03,0
DC,2020-11-03,2020-10-27,0,0,N/A,0,2020-11-03,0
DE,2020-10-10,N/A,1,0,2020-11-02,1,2020-11-03,0
FL,2020-10-06,2020-10-24,2,0,2020-10-24,1,2020-11-03,0
GA,2020-10-05,2020-10-13,2,0,2020-10-30,1,2020-11-03,0
HI,2020-11-03,2020-10-20,0,0,N/A,0,2020-11-03,0
IA,2020-11-03,N/A,1,0,2020-10-24,1,2020-11-03,0
ID,2020-11-03,2020-10-19,0,0,2020-10-30,2,2020-11-03,0
IL,2020-11-03,2020-09-24,0,0,2020-11-02,1,2020-11-03,0
IN,2020-10-05,2020-10-06,2,2,2020-10-22,2,2020-11-03,0
KS,2020-10-13,2020-10-27,2,0,2020-10-27,1,2020-11-03,0
KY,2020-10-05,2020-10-13,1,1,2020-10-27,2,2020-11-03,0
LA,2020-10-05,2020-10-16,1,1,2020-10-30,2,2020-11-02,1
MA,2020-10-24,2020-10-17,0,0,2020-10-28,1,2020-11-03,0
MD,2020-11-03,2020-10-26,0,0,2020-10-20,1,2020-11-03,0
ME,2020-11-03,N/A,0,0,2020-10-29,2,2020-11-03,0
MI,2020-11-03,N/A,1,0,2020-11-02,1,2020-11-03,0
MN,2020-11-03,2020-09-18,0,0,2020-11-02,1,2020-11-03,0
MO,2020-10-07,N/A,1,0,2020-11-02,2,2020-11-03,1
MS,2020-10-05,N/A,2,1,2020-10-31,2,2020-11-03,1
MT,2020-11-03,N/A,0,0,2020-11-02,0,2020-11-03,0
NC,2020-10-31,2020-10-15,0,0,2020-10-27,2,2020-11-03,1
ND,N/A,2020-10-19,1,0,N/A,1,2020-11-02,0
NE,2020-10-23,2020-10-05,0,0,2020-10-23,1,2020-11-03,0
NH,2020-11-03,N/A,2,1,2020-11-02,2,2020-11-03,0
NJ,2020-10-13,N/A,0,0,N/A,0,2020-11-03,0
NM,2020-10-31,2020-10-06,0,0,2020-10-20,1,2020-11-03,0
NV,2020-11-03,2020-10-17,0,0,N/A,0,2020-11-03,0
NY,2020-10-24,2020-10-24,0,1,2020-11-02,1,2020-11-03,0
OH,2020-10-05,2020-10-06,1,0,2020-10-31,1,2020-11-03,0
OK,2020-10-09,2020-10-29,1,0,2020-10-27,2,2020-11-03,0
OR,2020-10-13,2020-11-02,0,0,N/A,0,2020-11-03,0
PA,2020-10-19,N/A,0,0,2020-10-27,2,2020-11-03,0
RI,2020-11-03,2020-10-14,2,0,2020-11-02,1,2020-11-03,0
SC,2020-10-05,N/A,2,1,2020-11-02,2,2020-11-03,0
SD,2020-10-19,N/A,1,0,2020-11-02,1,2020-11-03,0
TN,2020-10-05,2020-10-14,2,1,2020-10-27,2,2020-11-03,0
TX,2020-10-05,2020-10-13,1,2,2020-10-23,1,2020-11-03,0
UT,2020-11-03,2020-10-20,1,0,N/A,0,2020-11-03,0
VA,2020-10-15,2020-09-18,1,0,2020-10-31,2,2020-11-03,0
VT,2020-11-03,N/A,0,0,2020-11-02,0,2020-11-02,0
WA,2020-11-03,2020-10-16,2,0,N/A,0,2020-11-03,0
WI,2020-10-30,2020-10-20,2,0,2020-10-29,1,2020-11-03,1
WV,2020-10-13,2020-10-21,1,2,2020-10-28,2,2020-11-03,0
WY,2020-11-03,N/A,0,0,2020-11-02,1,2020-11-03,0
