"GEO_ID","NAME","S1901_C01_001E","S1901_C01_001M","S1901_C01_002E","S1901_C01_002M","S1901_C01_003E","S1901_C01_003M","S1901_C01_004E","S1901_C01_004M","S1901_C01_005E","S1901_C01_005M","S1901_C01_006E","S1901_C01_006M","S1901_C01_007E","S1901_C01_007M","S1901_C01_008E","S1901_C01_008M","S1901_C01_009E","S1901_C01_009M","S1901_C01_010E","S1901_C01_010M","S1901_C01_011E","S1901_C01_011M","S1901_C01_012E","S1901_C01_012M","S1901_C01_013E","S1901_C01_013M","S1901_C01_014E","S1901_C01_014M","S1901_C01_015E","S1901_C01_015M","S1901_C01_016E","S1901_C01_016M","S1901_C02_001E","S1901_C02_001M","S1901_C02_002E","S1901_C02_002M","S1901_C02_003E","S1901_C02_003M","S1901_C02_004E","S1901_C02_004M","S1901_C02_005E","S1901_C02_005M","S1901_C02_006E","S1901_C02_006M","S1901_C02_007E","S1901_C02_007M","S1901_C02_008E","S1901_C02_008M","S1901_C02_009E","S1901_C02_009M","S1901_C02_010E","S1901_C02_010M","S1901_C02_011E","S1901_C02_011M","S1901_C02_012E","S1901_C02_012M","S1901_C02_013E","S1901_C02_013M","S1901_C02_014E","S1901_C02_014M","S1901_C02_015E","S1901_C02_015M","S1901_C02_016E","S1901_C02_016M","S1901_C03_001E","S1901_C03_001M","S1901_C03_002E","S1901_C03_002M","S1901_C03_003E","S1901_C03_003M","S1901_C03_004E","S1901_C03_004M","S1901_C03_005E","S1901_C03_005M","S1901_C03_006E","S1901_C03_006M","S1901_C03_007E","S1901_C03_007M","S1901_C03_008E","S1901_C03_008M","S1901_C03_009E","S1901_C03_009M","S1901_C03_010E","S1901_C03_010M","S1901_C03_011E","S1901_C03_011M","S1901_C03_012E","S1901_C03_012M","S1901_C03_013E","S1901_C03_013M","S1901_C03_014E","S1901_C03_014M","S1901_C03_015E","S1901_C03_015M","S1901_C03_016E","S1901_C03_016M","S1901_C04_001E","S1901_C04_001M","S1901_C04_002E","S1901_C04_002M","S1901_C04_003E","S1901_C04_003M","S1901_C04_004E","S1901_C04_004M","S1901_C04_005E","S1901_C04_005M","S1901_C04_006E","S1901_C04_006M","S1901_C04_007E","S1901_C04_007M","S1901_C04_008E","S1901_C04_008M","S1901_C04_009E","S1901_C04_009M","S1901_C04_010E","S1901_C04_010M","S1901_C04_011E","S1901_C04_011M","S1901_C04_012E","S1901_C04_012M","S1901_C04_013E","S1901_C04_013M","S1901_C04_014E","S1901_C04_014M","S1901_C04_015E","S1901_C04_015M","S1901_C04_016E","S1901_C04_016M"
"id","Geographic Area Name","Households!!Estimate!!Total","Households!!Margin of Error!!Total","Households!!Estimate!!Less than $10,000","Households!!Margin of Error!!Less than $10,000","Households!!Estimate!!$10,000 to $14,999","Households!!Margin of Error!!$10,000 to $14,999","Households!!Estimate!!$15,000 to $24,999","Households!!Margin of Error!!$15,000 to $24,999","Households!!Estimate!!$25,000 to $34,999","Households!!Margin of Error!!$25,000 to $34,999","Households!!Estimate!!$35,000 to $49,999","Households!!Margin of Error!!$35,000 to $49,999","Households!!Estimate!!$50,000 to $74,999","Households!!Margin of Error!!$50,000 to $74,999","Households!!Estimate!!$75,000 to $99,999","Households!!Margin of Error!!$75,000 to $99,999","Households!!Estimate!!$100,000 to $149,999","Households!!Margin of Error!!$100,000 to $149,999","Households!!Estimate!!$150,000 to $199,999","Households!!Margin of Error!!$150,000 to $199,999","Households!!Estimate!!$200,000 or more","Households!!Margin of Error!!$200,000 or more","Households!!Estimate!!Median income (dollars)","Households!!Margin of Error!!Median income (dollars)","Households!!Estimate!!Mean income (dollars)","Households!!Margin of Error!!Mean income (dollars)","Households!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Households!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Households!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Households!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Households!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Households!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Families!!Estimate!!Total","Families!!Margin of Error!!Total","Families!!Estimate!!Less than $10,000","Families!!Margin of Error!!Less than $10,000","Families!!Estimate!!$10,000 to $14,999","Families!!Margin of Error!!$10,000 to $14,999","Families!!Estimate!!$15,000 to $24,999","Families!!Margin of Error!!$15,000 to $24,999","Families!!Estimate!!$25,000 to $34,999","Families!!Margin of Error!!$25,000 to $34,999","Families!!Estimate!!$35,000 to $49,999","Families!!Margin of Error!!$35,000 to $49,999","Families!!Estimate!!$50,000 to $74,999","Families!!Margin of Error!!$50,000 to $74,999","Families!!Estimate!!$75,000 to $99,999","Families!!Margin of Error!!$75,000 to $99,999","Families!!Estimate!!$100,000 to $149,999","Families!!Margin of Error!!$100,000 to $149,999","Families!!Estimate!!$150,000 to $199,999","Families!!Margin of Error!!$150,000 to $199,999","Families!!Estimate!!$200,000 or more","Families!!Margin of Error!!$200,000 or more","Families!!Estimate!!Median income (dollars)","Families!!Margin of Error!!Median income (dollars)","Families!!Estimate!!Mean income (dollars)","Families!!Margin of Error!!Mean income (dollars)","Families!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Families!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Families!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Families!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Families!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Families!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Married-couple families!!Estimate!!Total","Married-couple families!!Margin of Error!!Total","Married-couple families!!Estimate!!Less than $10,000","Married-couple families!!Margin of Error!!Less than $10,000","Married-couple families!!Estimate!!$10,000 to $14,999","Married-couple families!!Margin of Error!!$10,000 to $14,999","Married-couple families!!Estimate!!$15,000 to $24,999","Married-couple families!!Margin of Error!!$15,000 to $24,999","Married-couple families!!Estimate!!$25,000 to $34,999","Married-couple families!!Margin of Error!!$25,000 to $34,999","Married-couple families!!Estimate!!$35,000 to $49,999","Married-couple families!!Margin of Error!!$35,000 to $49,999","Married-couple families!!Estimate!!$50,000 to $74,999","Married-couple families!!Margin of Error!!$50,000 to $74,999","Married-couple families!!Estimate!!$75,000 to $99,999","Married-couple families!!Margin of Error!!$75,000 to $99,999","Married-couple families!!Estimate!!$100,000 to $149,999","Married-couple families!!Margin of Error!!$100,000 to $149,999","Married-couple families!!Estimate!!$150,000 to $199,999","Married-couple families!!Margin of Error!!$150,000 to $199,999","Married-couple families!!Estimate!!$200,000 or more","Married-couple families!!Margin of Error!!$200,000 or more","Married-couple families!!Estimate!!Median income (dollars)","Married-couple families!!Margin of Error!!Median income (dollars)","Married-couple families!!Estimate!!Mean income (dollars)","Married-couple families!!Margin of Error!!Mean income (dollars)","Married-couple families!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Married-couple families!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Married-couple families!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Married-couple families!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Married-couple families!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Married-couple families!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Nonfamily households!!Estimate!!Total","Nonfamily households!!Margin of Error!!Total","Nonfamily households!!Estimate!!Less than $10,000","Nonfamily households!!Margin of Error!!Less than $10,000","Nonfamily households!!Estimate!!$10,000 to $14,999","Nonfamily households!!Margin of Error!!$10,000 to $14,999","Nonfamily households!!Estimate!!$15,000 to $24,999","Nonfamily households!!Margin of Error!!$15,000 to $24,999","Nonfamily households!!Estimate!!$25,000 to $34,999","Nonfamily households!!Margin of Error!!$25,000 to $34,999","Nonfamily households!!Estimate!!$35,000 to $49,999","Nonfamily households!!Margin of Error!!$35,000 to $49,999","Nonfamily households!!Estimate!!$50,000 to $74,999","Nonfamily households!!Margin of Error!!$50,000 to $74,999","Nonfamily households!!Estimate!!$75,000 to $99,999","Nonfamily households!!Margin of Error!!$75,000 to $99,999","Nonfamily households!!Estimate!!$100,000 to $149,999","Nonfamily households!!Margin of Error!!$100,000 to $149,999","Nonfamily households!!Estimate!!$150,000 to $199,999","Nonfamily households!!Margin of Error!!$150,000 to $199,999","Nonfamily households!!Estimate!!$200,000 or more","Nonfamily households!!Margin of Error!!$200,000 or more","Nonfamily households!!Estimate!!Median income (dollars)","Nonfamily households!!Margin of Error!!Median income (dollars)","Nonfamily households!!Estimate!!Mean income (dollars)","Nonfamily households!!Margin of Error!!Mean income (dollars)","Nonfamily households!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Nonfamily households!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Nonfamily households!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Nonfamily households!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Nonfamily households!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Nonfamily households!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months"
"0400000US01","Alabama","1846390","11341","9.5","0.3","6.9","0.3","12.7","0.4","11.3","0.4","13.8","0.4","17.8","0.4","10.7","0.5","10.5","0.4","3.6","0.2","3.1","0.2","44765","744","62307","811","37.5","(X)","(X)","(X)","(X)","(X)","1213540","13821","5.9","0.3","3.9","0.3","9.7","0.5","10.2","0.4","13.5","0.5","20.2","0.5","13.5","0.6","14","0.5","5","0.3","4.3","0.3","57160","798","74779","1084","(X)","(X)","38.3","(X)","(X)","(X)","863674","10996","2","0.2","1.7","0.2","5.8","0.4","8.5","0.4","12.8","0.5","22.5","0.6","16.5","0.7","17.9","0.7","6.6","0.4","5.8","0.4","70890","923","89518","1359","(X)","(X)","(X)","(X)","(X)","(X)","632850","11633","17.5","0.8","13","0.6","19.1","0.8","13.2","0.7","14.2","0.7","12.8","0.8","5.1","0.5","3.3","0.4","0.9","0.2","0.9","0.2","25214","539","36681","937","(X)","(X)","(X)","(X)","34.7","(X)"
"0400000US02","Alaska","250185","2685","3.9","0.6","3.2","0.5","6.8","0.8","7.6","0.8","11.8","0.9","17.7","1.2","15","1.2","18.8","1.2","8.5","0.7","6.7","0.7","73355","2316","92876","2964","32.8","(X)","(X)","(X)","(X)","(X)","163800","3113","2.5","0.5","1.5","0.4","4.9","0.8","6.4","0.8","10.2","0.9","17.7","1.4","14.8","1.3","22.6","1.6","10.7","0.9","8.6","1","86376","3414","105426","3448","(X)","(X)","33.3","(X)","(X)","(X)","120348","2954","0.4","0.2","0.5","0.2","2.2","0.5","3.9","0.7","7.9","1.1","17.4","1.4","16.5","1.5","27","1.9","13.6","1.3","10.6","1.2","101196","2111","120650","3446","(X)","(X)","(X)","(X)","(X)","(X)","86385","3614","7.8","1.3","6.7","1.2","11.3","1.6","10.3","1.3","15.6","1.9","17.9","2.1","14.3","2.1","11","1.7","2.7","0.7","2.5","0.8","46933","4007","63653","4608","(X)","(X)","(X)","(X)","28.8","(X)"
"0400000US04","Arizona","2463008","12455","7.6","0.3","4.8","0.2","10.8","0.3","10.7","0.3","14.5","0.4","18.8","0.4","12","0.3","12.1","0.3","4.5","0.2","4.2","0.2","51492","431","70638","716","36.9","(X)","(X)","(X)","(X)","(X)","1598414","13914","5.1","0.3","3.1","0.2","7.9","0.3","9.9","0.4","14","0.4","20.2","0.5","13.7","0.4","14.8","0.4","5.9","0.2","5.3","0.2","61042","595","81103","1012","(X)","(X)","37.9","(X)","(X)","(X)","1153542","12996","2.1","0.2","1.8","0.2","5.3","0.3","8.1","0.4","12.9","0.4","20.8","0.6","16.1","0.5","18.3","0.5","7.7","0.3","7","0.3","73318","1205","94454","1426","(X)","(X)","(X)","(X)","(X)","(X)","864594","12728","13.6","0.7","8.2","0.4","16.8","0.7","12.9","0.6","15.4","0.6","15.6","0.7","7.8","0.5","6.2","0.4","1.6","0.2","1.8","0.2","33452","893","47845","877","(X)","(X)","(X)","(X)","33.2","(X)"
"0400000US05","Arkansas","1144663","8300","9.1","0.4","7.1","0.4","13.4","0.5","12.6","0.5","15","0.5","17.7","0.6","10.4","0.4","9.3","0.4","2.5","0.2","3","0.2","41995","477","59275","931","35.4","(X)","(X)","(X)","(X)","(X)","761494","10038","5.6","0.5","3.9","0.3","10.3","0.6","11.9","0.6","15.5","0.6","20.1","0.8","13","0.6","12.3","0.6","3.4","0.3","4","0.3","52449","912","70602","1247","(X)","(X)","35.9","(X)","(X)","(X)","561297","9469","2","0.3","1.9","0.3","7.2","0.5","10.3","0.7","15.4","0.7","22.3","0.9","15.8","0.7","15.6","0.7","4.3","0.3","5.1","0.4","63991","1090","82394","1529","(X)","(X)","(X)","(X)","(X)","(X)","383169","8477","17.5","0.9","13.6","0.8","20.1","1","14.3","0.9","13.9","0.9","11.9","0.9","4.3","0.5","2.7","0.4","0.7","0.2","0.8","0.2","24282","669","34556","958","(X)","(X)","(X)","(X)","32.5","(X)"
"0400000US06","California","12896357","19487","5.5","0.1","4.8","0.1","9.1","0.1","8.6","0.1","11.7","0.1","16.4","0.2","12.2","0.1","15.3","0.1","7.5","0.1","8.9","0.1","64500","395","91757","393","36.2","(X)","(X)","(X)","(X)","(X)","8835906","26617","4.1","0.1","3","0.1","7.7","0.1","8","0.2","11.5","0.2","16.5","0.2","13","0.2","17","0.2","8.7","0.1","10.6","0.1","73581","579","101885","512","(X)","(X)","36.9","(X)","(X)","(X)","6342293","25212","1.6","0.1","1.7","0.1","5.4","0.1","6.4","0.2","10","0.2","16.1","0.2","13.9","0.2","20","0.2","10.9","0.2","13.9","0.2","90031","553","119331","638","(X)","(X)","(X)","(X)","(X)","(X)","4060451","23969","10.8","0.2","9.4","0.2","13","0.3","10.1","0.2","12.4","0.3","15.7","0.3","9.9","0.3","10.2","0.2","4.1","0.2","4.4","0.2","42068","352","64128","637","(X)","(X)","(X)","(X)","31.9","(X)"
"0400000US08","Colorado","2074735","7548","5.3","0.2","3.7","0.2","8.3","0.3","8.6","0.3","13.2","0.3","18.3","0.4","13.4","0.3","16.1","0.4","6.6","0.2","6.6","0.2","63909","891","85915","783","33.5","(X)","(X)","(X)","(X)","(X)","1331861","11075","3.1","0.2","1.9","0.2","5.5","0.3","7.1","0.3","11.5","0.4","18.1","0.5","15.2","0.4","19.9","0.5","8.7","0.3","8.9","0.3","78384","1044","101461","1195","(X)","(X)","34.1","(X)","(X)","(X)","1038040","9389","1.2","0.2","1","0.1","3.6","0.3","5.4","0.3","10","0.4","17.5","0.6","16.5","0.5","23.4","0.7","10.5","0.4","10.9","0.4","90634","923","114572","1462","(X)","(X)","(X)","(X)","(X)","(X)","742874","10127","10.2","0.6","7.1","0.5","14.1","0.7","11.7","0.6","16.5","0.7","18.5","0.8","9.5","0.6","7.9","0.5","2.3","0.3","2.2","0.3","40487","667","54545","1239","(X)","(X)","(X)","(X)","30.8","(X)"
"0400000US09","Connecticut","1343703","6712","5.7","0.3","3.9","0.3","8","0.3","7.2","0.4","11.3","0.4","15.9","0.5","12.5","0.4","17","0.5","8.2","0.4","10.3","0.3","71346","783","101347","1210","35.4","(X)","(X)","(X)","(X)","(X)","876188","9056","3.3","0.3","2.1","0.3","5.1","0.4","5.7","0.4","9.4","0.4","15.1","0.5","13.5","0.5","20.8","0.6","10.9","0.5","14.2","0.5","91388","936","122665","1578","(X)","(X)","36.6","(X)","(X)","(X)","647589","8615","0.9","0.2","0.9","0.2","2.5","0.3","3.7","0.4","7.3","0.4","14.1","0.7","14.3","0.6","24.4","0.8","13.7","0.6","18.2","0.6","110346","1214","144501","2107","(X)","(X)","(X)","(X)","(X)","(X)","467515","8897","11","0.6","7.5","0.7","14.3","0.8","10.9","0.7","14.9","0.7","16.9","1","10.2","0.7","8.7","0.6","2.9","0.3","2.8","0.3","41201","891","57952","1607","(X)","(X)","(X)","(X)","31.5","(X)"
"0400000US10","Delaware","352595","3920","5.4","0.6","3.3","0.5","9.3","0.7","9.2","0.9","13.2","1","18.8","1.1","14.9","0.8","14.4","0.9","6.3","0.6","5.2","0.5","61255","1281","81120","2210","40","(X)","(X)","(X)","(X)","(X)","235385","4062","3.7","0.6","2","0.5","6.8","0.8","7.5","0.9","11.3","1","18.7","1.3","16.7","1","18.3","1.2","8.4","0.8","6.5","0.6","74931","2244","93475","2358","(X)","(X)","40.6","(X)","(X)","(X)","170416","4537","1.3","0.4","0.7","0.3","4.2","0.8","5.7","0.9","9.4","1","18.5","1.4","18.6","1.3","22","1.6","10.8","1.1","8.7","0.8","88506","2308","108903","2891","(X)","(X)","(X)","(X)","(X)","(X)","117210","4664","10.5","1.5","6.6","1.1","15.5","1.5","12.8","1.7","16.7","1.9","18","1.9","10.6","1.5","5.6","0.9","1.8","0.6","1.9","0.6","37810","1826","52761","4018","(X)","(X)","(X)","(X)","37.2","(X)"
"0400000US11","District of Columbia","281787","3030","8.6","0.9","4.4","0.6","7.3","0.8","7.1","0.8","9.3","0.8","12.9","1","11.1","1","16","1","8.7","0.8","14.7","0.9","75628","2493","114600","4986","32.7","(X)","(X)","(X)","(X)","(X)","125178","3853","6.6","1.2","3.4","1","7.2","1.3","6.8","1.1","8.2","1.2","10.3","1.3","9.4","1.4","14.5","1.5","11.1","1.2","22.6","1.8","94846","4524","147329","10218","(X)","(X)","35.6","(X)","(X)","(X)","71857","3518","1.4","0.7","1.3","1.1","2.5","1","2.6","0.9","4.8","1.3","7.9","1.7","8.4","1.8","18.5","2.3","15.3","1.8","37.1","2.8","157430","9232","210595","16536","(X)","(X)","(X)","(X)","(X)","(X)","156609","4612","10.8","1.3","5.1","0.9","7.6","1","7.6","1.2","10.1","1.2","15","1.4","12.4","1.3","17.3","1.5","6.5","1","7.7","1","62840","3497","85768","2886","(X)","(X)","(X)","(X)","29.2","(X)"
