"GEO_ID","NAME","S1901_C01_007M","S1901_C01_008E","S1901_C01_008M","S1901_C01_009E","S1901_C01_009M","S1901_C01_010E","S1901_C01_010M","S1901_C01_011E","S1901_C01_011M","S1901_C01_012E","S1901_C01_012M","S1901_C01_013E","S1901_C01_013M","S1901_C01_014E","S1901_C01_014M","S1901_C01_015E","S1901_C01_015M","S1901_C01_016E","S1901_C01_016M","S1901_C02_001E","S1901_C02_001M","S1901_C02_002E","S1901_C02_002M","S1901_C02_003E","S1901_C02_003M","S1901_C02_004E","S1901_C02_004M","S1901_C02_005E","S1901_C02_005M","S1901_C02_006E","S1901_C02_006M","S1901_C02_007E","S1901_C02_007M","S1901_C02_008E","S1901_C02_008M","S1901_C02_009E","S1901_C02_009M","S1901_C02_010E","S1901_C02_010M","S1901_C02_011E","S1901_C02_011M","S1901_C02_012E","S1901_C02_012M","S1901_C02_013E","S1901_C02_013M","S1901_C02_014E","S1901_C02_014M","S1901_C02_015E","S1901_C02_015M","S1901_C02_016E","S1901_C02_016M","S1901_C03_001E","S1901_C03_001M","S1901_C03_002E","S1901_C03_002M","S1901_C03_003E","S1901_C03_003M","S1901_C03_004E","S1901_C03_004M","S1901_C03_005E","S1901_C03_005M","S1901_C03_006E","S1901_C03_006M","S1901_C03_007E","S1901_C03_007M","S1901_C03_008E","S1901_C03_008M","S1901_C03_009E","S1901_C03_009M","S1901_C03_010E","S1901_C03_010M","S1901_C03_011E","S1901_C03_011M","S1901_C03_012E","S1901_C03_012M","S1901_C03_013E","S1901_C03_013M","S1901_C03_014E","S1901_C03_014M","S1901_C03_015E","S1901_C03_015M","S1901_C03_016E","S1901_C03_016M","S1901_C04_001E","S1901_C04_001M","S1901_C04_002E","S1901_C04_002M","S1901_C04_003E","S1901_C04_003M","S1901_C04_004E","S1901_C04_004M","S1901_C04_005E","S1901_C04_005M","S1901_C04_006E","S1901_C04_006M","S1901_C04_007E","S1901_C04_007M","S1901_C04_008E","S1901_C04_008M","S1901_C04_009E","S1901_C04_009M","S1901_C04_010E","S1901_C04_010M","S1901_C04_011E","S1901_C04_011M","S1901_C04_012E","S1901_C04_012M","S1901_C04_013E","S1901_C04_013M","S1901_C04_014E","S1901_C04_014M","S1901_C04_015E","S1901_C04_015M","S1901_C04_016E","S1901_C04_016M","S1901_C01_001E","S1901_C01_001M","S1901_C01_002E","S1901_C01_002M","S1901_C01_003E","S1901_C01_003M","S1901_C01_004E","S1901_C01_004M","S1901_C01_005E","S1901_C01_005M","S1901_C01_006E","S1901_C01_006M","S1901_C01_007E"
"id","Geographic Area Name","Households!!Margin of Error!!$50,000 to $74,999","Households!!Estimate!!$75,000 to $99,999","Households!!Margin of Error!!$75,000 to $99,999","Households!!Estimate!!$100,000 to $149,999","Households!!Margin of Error!!$100,000 to $149,999","Households!!Estimate!!$150,000 to $199,999","Households!!Margin of Error!!$150,000 to $199,999","Households!!Estimate!!$200,000 or more","Households!!Margin of Error!!$200,000 or more","Households!!Estimate!!Median income (dollars)","Households!!Margin of Error!!Median income (dollars)","Households!!Estimate!!Mean income (dollars)","Households!!Margin of Error!!Mean income (dollars)","Households!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Households!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Households!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Households!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Households!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Households!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Families!!Estimate!!Total","Families!!Margin of Error!!Total","Families!!Estimate!!Less than $10,000","Families!!Margin of Error!!Less than $10,000","Families!!Estimate!!$10,000 to $14,999","Families!!Margin of Error!!$10,000 to $14,999","Families!!Estimate!!$15,000 to $24,999","Families!!Margin of Error!!$15,000 to $24,999","Families!!Estimate!!$25,000 to $34,999","Families!!Margin of Error!!$25,000 to $34,999","Families!!Estimate!!$35,000 to $49,999","Families!!Margin of Error!!$35,000 to $49,999","Families!!Estimate!!$50,000 to $74,999","Families!!Margin of Error!!$50,000 to $74,999","Families!!Estimate!!$75,000 to $99,999","Families!!Margin of Error!!$75,000 to $99,999","Families!!Estimate!!$100,000 to $149,999","Families!!Margin of Error!!$100,000 to $149,999","Families!!Estimate!!$150,000 to $199,999","Families!!Margin of Error!!$150,000 to $199,999","Families!!Estimate!!$200,000 or more","Families!!Margin of Error!!$200,000 or more","Families!!Estimate!!Median income (dollars)","Families!!Margin of Error!!Median income (dollars)","Families!!Estimate!!Mean income (dollars)","Families!!Margin of Error!!Mean income (dollars)","Families!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Families!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Families!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Families!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Families!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Families!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Married-couple families!!Estimate!!Total","Married-couple families!!Margin of Error!!Total","Married-couple families!!Estimate!!Less than $10,000","Married-couple families!!Margin of Error!!Less than $10,000","Married-couple families!!Estimate!!$10,000 to $14,999","Married-couple families!!Margin of Error!!$10,000 to $14,999","Married-couple families!!Estimate!!$15,000 to $24,999","Married-couple families!!Margin of Error!!$15,000 to $24,999","Married-couple families!!Estimate!!$25,000 to $34,999","Married-couple families!!Margin of Error!!$25,000 to $34,999","Married-couple families!!Estimate!!$35,000 to $49,999","Married-couple families!!Margin of Error!!$35,000 to $49,999","Married-couple families!!Estimate!!$50,000 to $74,999","Married-couple families!!Margin of Error!!$50,000 to $74,999","Married-couple families!!Estimate!!$75,000 to $99,999","Married-couple families!!Margin of Error!!$75,000 to $99,999","Married-couple families!!Estimate!!$100,000 to $149,999","Married-couple families!!Margin of Error!!$100,000 to $149,999","Married-couple families!!Estimate!!$150,000 to $199,999","Married-couple families!!Margin of Error!!$150,000 to $199,999","Married-couple families!!Estimate!!$200,000 or more","Married-couple families!!Margin of Error!!$200,000 or more","Married-couple families!!Estimate!!Median income (dollars)","Married-couple families!!Margin of Error!!Median income (dollars)","Married-couple families!!Estimate!!Mean income (dollars)","Married-couple families!!Margin of Error!!Mean income (dollars)","Married-couple families!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Married-couple families!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Married-couple families!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Married-couple families!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Married-couple families!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Married-couple families!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Nonfamily households!!Estimate!!Total","Nonfamily households!!Margin of Error!!Total","Nonfamily households!!Estimate!!Less than $10,000","Nonfamily households!!Margin of Error!!Less than $10,000","Nonfamily households!!Estimate!!$10,000 to $14,999","Nonfamily households!!Margin of Error!!$10,000 to $14,999","Nonfamily households!!Estimate!!$15,000 to $24,999","Nonfamily households!!Margin of Error!!$15,000 to $24,999","Nonfamily households!!Estimate!!$25,000 to $34,999","Nonfamily households!!Margin of Error!!$25,000 to $34,999","Nonfamily households!!Estimate!!$35,000 to $49,999","Nonfamily households!!Margin of Error!!$35,000 to $49,999","Nonfamily households!!Estimate!!$50,000 to $74,999","Nonfamily households!!Margin of Error!!$50,000 to $74,999","Nonfamily households!!Estimate!!$75,000 to $99,999","Nonfamily households!!Margin of Error!!$75,000 to $99,999","Nonfamily households!!Estimate!!$100,000 to $149,999","Nonfamily households!!Margin of Error!!$100,000 to $149,999","Nonfamily households!!Estimate!!$150,000 to $199,999","Nonfamily households!!Margin of Error!!$150,000 to $199,999","Nonfamily households!!Estimate!!$200,000 or more","Nonfamily households!!Margin of Error!!$200,000 or more","Nonfamily households!!Estimate!!Median income (dollars)","Nonfamily households!!Margin of Error!!Median income (dollars)","Nonfamily households!!Estimate!!Mean income (dollars)","Nonfamily households!!Margin of Error!!Mean income (dollars)","Nonfamily households!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Nonfamily households!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Nonfamily households!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Nonfamily households!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Nonfamily households!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Nonfamily households!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Households!!Estimate!!Total","Households!!Margin of Error!!Total","Households!!Estimate!!Less than $10,000","Households!!Margin of Error!!Less than $10,000","Households!!Estimate!!$10,000 to $14,999","Households!!Margin of Error!!$10,000 to $14,999","Households!!Estimate!!$15,000 to $24,999","Households!!Margin of Error!!$15,000 to $24,999","Households!!Estimate!!$25,000 to $34,999","Households!!Margin of Error!!$25,000 to $34,999","Households!!Estimate!!$35,000 to $49,999","Households!!Margin of Error!!$35,000 to $49,999","Households!!Estimate!!$50,000 to $74,999"
"0400000US01","Alabama","0.2","10.9","0.2","10.4","0.2","3.4","0.1","2.7","0.1","43623","281","60511","335","32.9","(X)","(X)","(X)","(X)","(X)","1238967","5463","6.3","0.1","4.2","0.1","10.1","0.2","10.4","0.2","14.1","0.3","19.4","0.2","13.6","0.2","13.7","0.2","4.6","0.1","3.6","0.1","55341","391","71994","459","(X)","(X)","33.5","(X)","(X)","(X)","880942","5614","2.0","0.1","1.8","0.1","6.5","0.2","8.7","0.2","13.8","0.3","21.7","0.3","16.8","0.3","17.7","0.3","6.1","0.2","4.9","0.2","69231","485","86132","641","(X)","(X)","(X)","(X)","(X)","(X)","609358","3763","18.2","0.4","13.2","0.3","19.2","0.4","13.6","0.3","13.8","0.3","12.4","0.3","4.9","0.2","3.2","0.2","0.7","0.1","0.7","0.1","24626","250","35436","341","(X)","(X)","(X)","(X)","30.5","(X)","1848325","5710","9.9","0.1","7.0","0.1","12.9","0.2","11.5","0.2","14.1","0.2","17.3"
"0400000US02","Alaska","0.5","14.9","0.5","18.9","0.5","8.3","0.3","6.1","0.4","72515","838","89746","1133","28.0","(X)","(X)","(X)","(X)","(X)","167562","1418","2.8","0.3","1.7","0.2","5.2","0.3","6.1","0.4","9.9","0.4","18.1","0.6","16.1","0.6","22.2","0.7","10.4","0.5","7.6","0.5","84232","1290","100810","1500","(X)","(X)","28.5","(X)","(X)","(X)","124649","1600","0.8","0.1","0.7","0.1","2.5","0.2","4.1","0.3","7.9","0.4","17.3","0.7","17.9","0.8","26.3","0.9","12.9","0.6","9.6","0.6","98004","1434","115369","1838","(X)","(X)","(X)","(X)","(X)","(X)","83407","1528","7.3","0.7","7.5","0.6","12.9","0.7","10.0","0.7","15.8","0.9","18.6","0.8","11.9","0.8","10.4","0.7","3.1","0.4","2.5","0.4","45789","1250","61977","2009","(X)","(X)","(X)","(X)","24.2","(X)","250969","1362","3.8","0.3","3.4","0.2","7.4","0.3","7.2","0.4","11.7","0.4","18.3"
"0400000US04","Arizona","0.2","11.8","0.1","12.0","0.2","4.1","0.1","3.8","0.1","50255","211","68297","291","32.2","(X)","(X)","(X)","(X)","(X)","1581380","7010","5.5","0.1","3.4","0.1","8.4","0.2","10.1","0.2","14.1","0.2","19.8","0.2","13.7","0.2","14.8","0.2","5.3","0.1","4.9","0.1","59480","381","78365","425","(X)","(X)","32.7","(X)","(X)","(X)","1142828","8342","2.3","0.1","1.9","0.1","6.0","0.1","8.4","0.2","13.1","0.2","20.8","0.3","15.9","0.2","18.3","0.3","6.9","0.2","6.4","0.1","71490","350","91195","509","(X)","(X)","(X)","(X)","(X)","(X)","830832","4718","13.5","0.3","9.1","0.2","16.8","0.3","13.6","0.3","15.6","0.3","15.1","0.3","7.5","0.2","5.7","0.2","1.5","0.1","1.5","0.1","32283","223","45752","383","(X)","(X)","(X)","(X)","29.5","(X)","2412212","7194","7.7","0.1","5.2","0.1","11.1","0.1","11.1","0.2","14.6","0.2","18.5"
"0400000US05","Arkansas","0.2","10.0","0.2","9.1","0.2","2.7","0.1","2.4","0.1","41371","247","57304","380","29.7","(X)","(X)","(X)","(X)","(X)","759924","4517","5.7","0.2","4.1","0.1","11.1","0.2","11.6","0.3","15.7","0.3","20.3","0.3","12.6","0.2","12.1","0.2","3.6","0.1","3.2","0.1","51782","323","67812","504","(X)","(X)","30.3","(X)","(X)","(X)","558920","4505","2.0","0.1","2.2","0.1","7.7","0.3","10.3","0.3","15.6","0.3","22.7","0.4","15.3","0.3","15.4","0.3","4.6","0.2","4.2","0.2","62183","416","79172","640","(X)","(X)","(X)","(X)","(X)","(X)","378101","3495","17.6","0.4","15.0","0.3","19.8","0.4","14.2","0.4","13.6","0.4","11.5","0.3","4.1","0.2","2.6","0.2","0.8","0.1","0.7","0.1","23543","305","34217","521","(X)","(X)","(X)","(X)","27.3","(X)","1138025","3839","9.2","0.2","7.6","0.1","13.8","0.2","12.4","0.2","15.2","0.2","17.7"
"0400000US06","California","0.1","12.1","0.1","15.0","0.1","7.0","0.1","7.9","0.1","61818","156","87877","227","32.1","(X)","(X)","(X)","(X)","(X)","8732734","22938","4.4","0.1","3.2","0.1","8.2","0.1","8.3","0.1","11.8","0.1","16.7","0.1","12.8","0.1","16.8","0.1","8.2","0.1","9.6","0.1","70720","255","97665","327","(X)","(X)","32.7","(X)","(X)","(X)","6245351","30141","1.8","0.1","1.8","0.1","5.8","0.1","6.7","0.1","10.4","0.1","16.5","0.1","14.0","0.1","20.1","0.1","10.4","0.1","12.6","0.1","86542","265","114663","353","(X)","(X)","(X)","(X)","(X)","(X)","3985067","10698","10.9","0.1","9.9","0.1","13.3","0.1","10.5","0.1","12.6","0.1","15.9","0.1","9.7","0.1","9.6","0.1","3.6","0.1","3.8","0.1","40876","160","61200","262","(X)","(X)","(X)","(X)","28.1","(X)","12717801","18352","5.8","0.1","5.1","0.1","9.5","0.1","8.9","0.1","12.0","0.1","16.7"
"0400000US08","Colorado","0.2","13.2","0.1","14.9","0.2","6.2","0.1","5.8","0.1","60629","252","81635","344","27.7","(X)","(X)","(X)","(X)","(X)","1300972","5894","3.5","0.1","2.2","0.1","6.3","0.2","7.6","0.2","11.9","0.2","18.6","0.2","15.2","0.2","18.7","0.2","8.2","0.2","7.8","0.1","74826","416","96206","509","(X)","(X)","27.9","(X)","(X)","(X)","1003324","6203","1.3","0.1","1.1","0.1","4.2","0.2","6.0","0.2","10.3","0.2","18.6","0.3","16.8","0.2","22.1","0.3","9.9","0.2","9.7","0.2","86753","461","109188","610","(X)","(X)","(X)","(X)","(X)","(X)","723496","4810","11.1","0.3","7.9","0.2","14.5","0.3","12.7","0.3","16.0","0.3","17.4","0.3","9.0","0.2","7.2","0.2","2.2","0.1","1.9","0.1","37978","391","52329","496","(X)","(X)","(X)","(X)","25.7","(X)","2024468","4437","5.9","0.1","4.1","0.1","9.0","0.1","9.3","0.1","13.2","0.2","18.3"
"0400000US09","Connecticut","0.2","12.8","0.2","16.6","0.2","8.1","0.2","9.7","0.2","70331","409","99992","604","31.3","(X)","(X)","(X)","(X)","(X)","895639","4515","3.5","0.1","2.0","0.1","5.1","0.2","6.2","0.2","9.3","0.2","15.6","0.3","14.1","0.2","20.4","0.3","10.6","0.2","13.2","0.2","89031","695","120409","803","(X)","(X)","32.1","(X)","(X)","(X)","661596","4776","1.0","0.1","0.8","0.1","2.6","0.1","4.3","0.2","7.5","0.2","14.6","0.3","15.0","0.3","24.2","0.3","13.2","0.3","17.0","0.3","107055","615","141996","982","(X)","(X)","(X)","(X)","(X)","(X)","456944","3592","11.2","0.3","7.8","0.3","15.0","0.4","11.1","0.3","14.3","0.4","17.2","0.4","9.9","0.3","8.2","0.3","2.7","0.1","2.6","0.2","40013","570","56590","718","(X)","(X)","(X)","(X)","28.1","(X)","1352583","3661","5.8","0.1","3.9","0.1","8.3","0.2","7.7","0.1","10.9","0.2","16.2"
"0400000US10","Delaware","0.5","13.6","0.4","15.0","0.4","6.0","0.2","5.1","0.2","60509","595","79262","833","34.5","(X)","(X)","(X)","(X)","(X)","230307","1942","3.8","0.3","2.1","0.2","6.2","0.3","8.1","0.4","11.7","0.4","19.5","0.6","15.7","0.5","18.7","0.5","7.5","0.3","6.6","0.3","72993","928","91588","1032","(X)","(X)","34.7","(X)","(X)","(X)","165607","1874","1.2","0.2","0.7","0.1","4.1","0.3","5.9","0.4","10.0","0.4","19.1","0.6","17.7","0.5","22.9","0.6","9.7","0.4","8.7","0.4","87353","1163","106904","1282","(X)","(X)","(X)","(X)","(X)","(X)","113715","1757","11.0","0.6","7.9","0.4","15.6","0.7","12.7","0.6","16.5","0.7","17.8","0.8","8.7","0.6","6.2","0.5","2.2","0.3","1.7","0.3","37175","737","50455","1334","(X)","(X)","(X)","(X)","32.0","(X)","344022","1500","5.8","0.3","3.8","0.2","9.0","0.3","9.4","0.3","13.2","0.3","19.0"
"0400000US11","District of Columbia","0.4","10.8","0.3","15.4","0.4","8.3","0.3","13.5","0.4","70848","843","107594","1311","31.7","(X)","(X)","(X)","(X)","(X)","118737","1918","7.6","0.5","3.4","0.4","7.7","0.6","6.7","0.4","8.5","0.5","12.2","0.7","9.2","0.5","14.2","0.6","10.0","0.6","20.6","0.6","85321","2217","134869","2523","(X)","(X)","35.5","(X)","(X)","(X)","65383","1523","1.3","0.3","1.3","0.3","3.3","0.5","3.2","0.5","4.9","0.5","9.7","0.7","9.0","0.6","17.8","0.9","14.8","0.8","34.8","1.0","148639","4257","195624","4404","(X)","(X)","(X)","(X)","(X)","(X)","154653","1882","12.6","0.6","4.9","0.4","7.7","0.4","6.9","0.4","10.3","0.5","15.3","0.7","11.8","0.4","16.1","0.6","6.9","0.4","7.6","0.4","61466","875","84290","1621","(X)","(X)","(X)","(X)","27.6","(X)","273390","1578","10.2","0.4","4.2","0.3","7.4","0.4","6.7","0.3","9.6","0.4","13.9"
