state_abrv,registration deadline,starting day of voting early,id for in person voting,who can request,deadline to request,absentee mailed out,date to return absentee by,witness needed,regScore,earlyVoteScore,idScore,requestScore,absenteeMailScore,witnessScore,requestDateScore,returnScore,whoRequestScore,covIndex
AK,2020-10-04,2020-10-19,1,1,2020-10-24,1,2020-11-03,0,1.0,0.6888888888888888,0.5,0.5,0.5,0,0.6923076923076923,0.0,0.5,-0.15555555555555567
AL,2020-10-19,2020-11-02,1,0,2020-10-29,2,2020-11-03,1,0.5,1.0,0.5,0.0,1.0,1,0.3076923076923077,0.0,0.0,0.0
AR,2020-10-05,2020-10-19,2,1,2020-11-02,2,2020-11-03,0,0.9666666666666667,0.6888888888888888,1.0,0.5,1.0,0,0.0,0.0,0.5,0.3277777777777775
AZ,2020-10-15,2020-10-07,1,0,2020-10-23,1,2020-11-03,0,0.6333333333333333,0.42222222222222217,0.5,0.0,0.5,0,0.7692307692307692,0.0,0.0,-0.9722222222222223
CA,2020-11-03,2020-10-05,0,0,2020-11-02,0,2020-11-03,0,0.0,0.3777777777777777,0.0,0.0,0.0,0,0.0,0.0,0.0,-1.8111111111111111
CO,2020-11-03,2020-10-19,1,0,2020-11-02,0,2020-11-03,0,0.0,0.6888888888888888,0.5,0.0,0.0,0,0.0,0.0,0.0,-1.4055555555555557
CT,2020-11-03,2020-11-02,1,1,2020-11-02,1,2020-11-03,0,0.0,1.0,0.5,0.5,0.5,0,0.0,0.0,0.5,-0.5
DC,2020-11-03,2020-10-27,0,0,2020-11-02,0,2020-11-03,0,0.0,0.8666666666666666,0.0,0.0,0.0,0,0.0,0.0,0.0,-1.5666666666666667
DE,2020-10-10,2020-11-02,1,0,2020-11-02,1,2020-11-03,0,0.8000000000000002,1.0,0.5,0.0,0.5,0,0.0,0.0,0.0,-0.5999999999999999
FL,2020-10-06,2020-10-24,2,0,2020-10-24,1,2020-11-03,0,0.9333333333333333,0.7999999999999998,1.0,0.0,0.5,0,0.6923076923076923,0.0,0.0,-0.3833333333333333
GA,2020-10-05,2020-10-13,2,0,2020-10-30,1,2020-11-03,0,0.9666666666666667,0.5555555555555555,1.0,0.0,0.5,0,0.23076923076923073,0.0,0.0,-0.48888888888888893
