0,1,2,3,4
0,40,42,3,24
1,37,12,26,50
2,28,43,4,44
3,17,42,0,36
4,28,2,43,31
5,16,27,23,37
6,29,33,46,38
7,38,46,20,32
8,20,46,21,32
9,13,32,7,39
10,7,20,13,32
11,4,37,28,44
12,50,37,27,16
13,32,30,47,39
14,17,22,25,49
15,35,27,49,22
16,27,23,25,49
17,14,42,25,3
18,0,40,42,33
19,45,29,48,6
20,7,46,32,10
21,30,32,39,47
22,35,14,38,49
23,49,27,16,25
24,0,3,40,18
25,49,14,42,22
26,41,34,50,27
27,16,23,49,25
28,2,4,44,43
29,6,45,49,19
30,32,21,39,13
31,43,2,4,28
32,30,39,21,47
33,40,42,46,0
34,41,26,50,49
35,22,38,14,25
36,25,16,27,14
37,12,44,50,5
38,35,22,47,7
39,47,32,30,21
40,33,0,42,18
41,34,26,50,36
42,25,14,17,33
43,2,31,9,28
44,37,12,2,27
45,19,29,6,48
46,33,38,7,20
47,39,38,32,21
48,17,3,19,14
49,25,14,22,23
50,34,12,26,27
